Jurisdicción,CUE Anexo,Nombre,Sector,Ámbito,Domicilio,CP,Código de área,Teléfono,Fecha alta,Cant. Alumnos,Asignación parcial ($),Asignación final ($),Promedio nota alumnos
Santiago del Estero,860130803,AGRUPAMIENTO Nº 86051 ESC Nº 1073,Estatal,Rural,ANCAJAN,G4200,,,04/04/1958,2188,"$  43.760,00","$  48.136,00",5
Río Negro,620045300,ESCUELA PRIMARIA NRO. 46 ALMIRANTE GUILLERMO BROWN,Estatal,Rural,LOS CEREZOS 740  PROYECTO JORNADA EXTENDIDA,R8138,2931,432340,21/12/1963,4376,"$  87.520,00","$  96.272,00",8
Santa Fe,820355100,TALLER DE EDUCACION MANUAL NRO 110 11 DE SEPTIEMBRE,Estatal,Urbano,ITUZAINGO 1814 CANDIOTI,S3000,342,4577066,03/08/1987,3464,"$  69.280,00","$  69.280,00",10
Tucumán,900091600,ESC. N° 201 - DON JUAN GREGORIO JUAREZ,Estatal,Rural,Camino Vecinal   BUENA VISTA,T4172,0,3814637795,04/08/1971,2662,"$  53.240,00","$  58.564,00",9
Buenos Aires,860130803,INSTITUTO SENDEROS AZULES,Privado,Urbano,FERNANDO DE TORO Y CHIMONDEGUI 445,1842,11,4296-3426,05/03/1966,1603,"$  32.060,00","$  32.060,00",8
Entre Ríos,300142200,GRANADEROS DE SAN MARTIN 6,Estatal,Urbano,DON BOSCO 278,E3229,3456,491056,19/11/1956,3018,"$  60.360,00","$  60.360,00",5
Salta,660112800,JUAN BACHIR GERALA EX N° 898,Estatal,Rural,PARAJE  LA ENTRADA,A4554,,,08/07/1951,3564,"$  71.280,00","$  78.408,00",10
Mendoza,500138200,ESCUELA SUPERIOR DE PSICOLOGIA SOCIAL MENDOZA ENRIQUE P.RIVIERE,Privado,Urbano,EUSEBIO BLANCO 574,M5500,261,423-5813,29/10/1966,3830,"$  76.600,00","$  76.600,00",7
Salta,660024800,MONSEÑOR FRANCISCO DE LA CRUZ MUGUERZA EX N° 374,Estatal,Rural,CALLE CELSO TESTA - R.NAC.N° 34 S/Nº  PARAJE CAPIAZUTI NUEVO - AGUARAY,A4566,3873,606386,29/06/1976,2247,"$  44.940,00","$  49.434,00",3
Río Negro,620006600,ESCUELA PRIMARIA NRO.167 LA AMPARO,Estatal,Urbano,CALLE NRO.2 KM. 4;5   PROYECTO DE JORNADA EXTENDIDA,R8326,298,4491140,12/11/1990,3558,"$  71.160,00","$  71.160,00",4
Neuquén,580089000,INSTITUTO DE FORMACIÓN DOCENTE 12 GRAL JOSÉ DE SAN MARTÍN NIVEL PRIMARIO,Estatal,Urbano,ARGENTINA AV 935 CENTRO ESTE,8300,299,4424824,05/08/1955,2232,"$  44.640,00","$  44.640,00",5
San Luis,820355100,JARDIN DE INFANTES N° 4 ROSARIO VERA PEÑALOZA,Estatal,Urbano,AV.CENTENARIO (ESTE) 120 PUEBLO NUEVO ESQUINA SARMIENTO,D5700,,02652-428659,10/09/1962,1571,"$  31.420,00","$  31.420,00",10
Formosa,340058600,EPEP Nº259 CAPITAN DE FRAGATA SERGIO RAUL GOMEZ ROCA,Estatal,Rural,AV. 9 DE JULIO S/N,P3636,,C.P.0711-20188,23/08/1968,1711,"$  34.220,00","$  37.642,00",4
Mendoza,500217300,ELIANA MOLINELLI,Estatal,Urbano,MOISES TUBERT 110 JORGE NEWBERY,M5539,,4512640,04/05/1980,1815,"$  36.300,00","$  36.300,00",7
San Juan,700016201,NOCTURNA SOLDADOS DE MALVINAS ANEXO BARRIO FORTABAT,Estatal,Urbano,LAVALLE S/N  FORTABAT B°FORTABAT,J5400,264,4307837,20/03/1962,3001,"$  60.020,00","$  60.020,00",7
Santiago del Estero,860208600,JARDIN MUNICIPAL N° 19 ZAIDA TEJEDA DE VILLAVERDE,Estatal,Urbano,AMPLIACION 1°JUNTA LA BANDA,G4500,,,15/01/1956,2496,"$  49.920,00","$  49.920,00",4
Chaco,220035101,E.E.P. Nº  519 -CELSO PAEZ-,Estatal,Urbano,ASOC.COMUNITARIA-POZO DEL TORO,H3705,,,16/07/1961,1555,"$  31.100,00","$  31.100,00",6
Santa Fe,820101500,JARDIN DE INFANTES NRO 40 EMMA SCHENNA DE MAZZA,Estatal,Urbano,SAN MARTIN 1361 CENTRICO,S2630,3465,423414,09/07/1995,1923,"$  38.460,00","$  38.460,00",6
Buenos Aires,60111500,ESCUELA DE EDUCACIÓN PRIMARIA Nº16 MARCELINO UGARTE,Estatal,Urbano,ANCHORENA ESQ. CATAMARCA 901  LA LUCILA,1636,11,4790-5047,22/01/1985,2533,"$  50.660,00","$  50.660,00",7
Santa Fe,820398600,JARDIN DE INFANTES NRO 220 ROSA JUANA BOCCA,Estatal,Urbano,GOBERNADOR IRIONDO 3233,S3040,3498,425530,12/08/1991,4630,"$  92.600,00","$  92.600,00",9
Tucumán,700016201,JARDIN MATERNO INFANTIL MIMITOS,Privado,Urbano,CORRIENTES 26,4105,0,(381)6983677,02/09/1967,4776,"$  95.520,00","$  95.520,00",10
Ciudad de Buenos Aires,20038000,TOMAS SANTA COLOMA,Estatal,Urbano,SANTANDER 1150 PARQUE CHACABUCO,C1424,11,4921-9687,03/05/1951,4027,"$  80.540,00","$  80.540,00",7
Formosa,340063800,EPEP Nº 177,Estatal,Rural,COSTA RIACHO ALAZAN,P3601,,,17/06/1955,2599,"$  51.980,00","$  57.178,00",6
Neuquén,580016000,ESCUELA DIOCESANA PADRE ADOLFO FERNÁNDEZ,Privado,Urbano,LEGUIZAMON ONESIMO 1550 VILLA MARIA,8300,299,4423534,06/09/1989,3272,"$  65.440,00","$  65.440,00",9
Santa Fe,820252703,GRADO RADIAL NRO III - ESCUELA NOCTURNA NRO 33,Estatal,Urbano,SERVANDO BAYO 1808 BELLA VISTA,S2000,341,4725529,19/12/1954,4142,"$  82.840,00","$  82.840,00",5
Córdoba,140060600,J.DE INF. REMEDIOS ESCALADA DE SAN MARTIN,Estatal,Rural,LIBERTAD Y SAN MARTIN   SUCO,X5837,358,4280587,03/08/1980,3984,"$  79.680,00","$  87.648,00",5
Misiones,540076600,ESC. Nº 182: FRAGATA SARMIENTO,Estatal,Rural,RUTA PROV. Nº 103-LOTE 65   COLONIA MARTIRES,N3318,3755,15681500,11/11/1964,4245,"$  84.900,00","$  93.390,00",4
Catamarca,100023800,ESCUELA N° 74  DR.ARTURO M.BAS,Estatal,Rural,CASA DE PIEDRA- KM 62,K5263,,,08/03/1970,3508,"$  70.160,00","$  77.176,00",7
Córdoba,140072000,J.DE INF. MARIA JOSEFA G. DE BELGRANO Y PERI,Estatal,Urbano,JERONIMO LUIS DE CABRERA 451 LOS ALGARROBOS DEAN FUNES,X5200,3521,426211,03/06/1987,3046,"$  60.920,00","$  60.920,00",8
Formosa,340107303,JIN N° 42 - EPEP N° 111,Estatal,Rural,AVENIDA NESTOR KIRCHNER   LAS LOMITAS,3630,,,16/12/1985,4391,"$  87.820,00","$  96.602,00",6
Formosa,700016201,JIN N° 25 - EPEP N° 327,Estatal,Rural,RUTA NACIONAL Nº 86   COLONIA SAN JOSÉ,P3621,,,02/04/1968,2110,"$  42.200,00","$  46.420,00",9
Santa Fe,820148300,JARDIN DE INFANTES PART. INC. NRO 1363 HIJAS DE CRISTO REY,Privado,Urbano,9 DE JULIO 888 HOPPE,S2919,3400,474903,26/05/1963,3736,"$  74.720,00","$  74.720,00",5
Misiones,540184613,U.G.L. Nº 12 (A.Sat ESC. Nº 743),Estatal,Urbano,EXALTACIÓN DE LA CRUZ CAMINO VECINAL,3324,376,154346429,02/07/1968,3734,"$  74.680,00","$  74.680,00",9
Tucumán,900013500,ESC. N°235 - EMILIO GENOVE BARRIONUEVO,Estatal,Rural,ENTRE RIOS,T4166,0,155880280,06/07/1970,4985,"$  99.700,00","$  109.670,00",3
Santa Fe,820125300,ESCUELA NRO 383 JUAN GREGORIO DE LAS HERAS,Estatal,Urbano,CALLE 103 1058  VILLA JOSEFINA,S2438,3564,15516252,24/03/1959,2605,"$  52.100,00","$  52.100,00",10
